,flight_number,airline_code,departure_airport,arrival_airport,flighthistory_id,aircraft_id,original_departure_utc,published_dept_time,published_arr_time,present_condition,dewpoint,temperature,visibility,wind_speed,knots,bearing,altitude,callsign,ground_speed,latitude_degrees,longitude_degrees
0,1.0,HA,SMF,SEA,306073088.0,HAL1022,2013-08-16 05:10:00+00,05:10:00,06:40:00,Mist,69.0,71.0,4.0,18.41,18.41,170.0,17356.29723,AWE4O4,454,39.33000183,-91.73000336
1,42.0,MQ,LGA,CLT,306412943.0,EGF3199,2013-08-19 19:25:00+00,10:59:00,12:59:00,Mist,48.0,64.0,10.0,9.21,9.21,990.0,17356.29723,EJA955,496,39.13000107,-95.97000122
2,2712.0,UA,DEN,IAD,306417979.0,UAL652,2013-08-19 21:54:00+00,01:35:00,04:54:00,Fog,42.0,71.0,9.0,0.0,0.0,990.0,17356.29723,JBU223,467,37.16999817,-98.98000336
3,5958.0,DL,ATL,MSY,306501448.0,TRS589,2013-08-20 12:55:00+00,23:59:00,01:39:00,Light Rain,50.0,69.0,8.06287664,8.06,8.06,990.0,17356.29723,UAL436,474,38.91999817,-97.52999878
4,22.0,9E,MSP,MSN,308427470.0,SKW4812,2013-09-08 20:30:00+00,22:35:00,23:37:00,Fog,66.0,78.0,6.21,3.45,3.45,80.0,17356.29723,SKW6407,451,43.16999817,-115.2699966
5,380.0,VX,SFO,EWR,306471438.0,UAL1525,2013-08-19 15:34:00+00,04:20:00,09:55:00,Haze,55.24135887,68.0,8.06287664,11.51,11.51,230.0,17356.29723,UAL168O,238,33.31999969,-112.1800003
6,679.0,MQ,ATL,ORD,306501499.0,EGF3140,2013-08-20 21:45:00+00,22:25:00,00:25:00,Mist,64.0,73.0,10.0,11.51,11.51,210.0,3000.0,OPT304,387,35.65000153,-80.72000122
7,7641.0,MQ,LGA,ATL,306444806.0,DAL1247,2013-08-20 00:59:00+00,12:40:00,15:00:00,Fog in the vicinity,75.0,87.0,10.0,9.21,9.21,270.0,17356.29723,SKW549O,483,35.65000153,-119.5500031
8,7240.0,DL,RDU,ATL,306567719.0,DAL1803,2013-08-20 17:30:00+00,15:00:00,16:21:00,Light Snow Showers,53.0,87.0,5.9,4.6,4.6,40.0,17356.29723,DAL564,477,33.65000153,-85.66999817
9,994.0,S5,ORD,MSP,307259646.0,TCF3477,2013-08-27 18:34:00+00,19:52:00,21:29:00,Light Thunderstorm,50.0,60.0,5.9,8.06,8.06,60.0,9000.0,AAL978O,411,32.59999847,-96.72000122
10,205.0,VX,JFK,LAX,306538830.0,AAL185,2013-08-21 01:50:00+00,11:15:00,17:10:00,Mist,42.0,53.0,5.9,5.75,5.75,70.0,17356.29723,EGF3123,295,32.72999954,-97.18000031
11,1316.0,DL,ATL,RDU,306567712.0,DAL1774,2013-08-20 20:16:00+00,23:49:00,01:15:00,Mist,48.0,53.0,10.0,0.0,0.0,270.0,12000.0,ASQ4896,374,33.61999893,-83.06999969
12,2712.0,UA,DCA,ORD,306518630.0,TCF3449,2013-08-20 15:29:00+00,11:45:00,13:41:00,Patches Fog,53.0,68.0,5.9,9.21,9.21,250.0,17356.29723,DAL562,400,34.36999893,-82.87000275
13,1757.0,S5,DCA,LGA,306518526.0,TCF5910,2013-08-20 15:00:00+00,20:00:00,21:18:00,Fog,66.0,68.0,10.0,0.0,0.0,70.0,1000.0,AAL1164,385,33.56999969,-98.15000153
14,1520.0,UA,BOS,EWR,306424085.0,UAL1211,2013-08-19 15:26:00+00,15:17:00,17:05:00,Mist,62.0,71.0,6.21,9.21,9.21,340.0,17356.29723,AMF7O7,220,39.18000031,-90.01999664
15,1407.0,DL,SAV,ATL,308366845.0,SUB1O18,2013-09-06 00:00:00+00,15:20:00,16:31:00,Mist,53.0,68.0,5.9,6.9,6.9,20.0,17356.29723,AAL130O,183,32.95000076,-97.12000275
16,3737.0,MQ,DFW,CVG,306520078.0,EGF2842,2013-08-20 23:20:00+00,18:15:00,20:30:00,Haze,59.0,64.0,10.0,3.45,3.45,290.0,17356.29723,ASQ5030,485,36.08000183,-81.52999878
17,285.0,EV,PIA,ORD,306464658.0,EGF3034,2013-08-19 11:00:00+00,14:14:00,15:01:00,Mist,51.0,73.0,10.0,8.06,8.06,230.0,17356.29723,AAL276,451,31.68000031,-93.56999969
18,38.0,OO,SLC,IDA,306474134.0,SKW4833,2013-08-19 15:48:00+00,15:51:00,16:51:00,Thunderstorm in the vicinity,60.0,62.0,5.9,4.6,4.6,110.0,17356.29723,DAL2120,449,35.09999847,-85.91999817
19,7788.0,DL,DEN,ATL,306417706.0,TRS12O1,2013-08-19 13:00:00+00,14:00:00,16:49:00,Showers reported recently,51.0,80.0,8.06287664,8.06,8.06,130.0,17356.29723,UAL536,492,36.15000153,-114.7300034
